total extension (nm),DNA extension (nm),average force (pN),sd force (pN),average bp unzipped,sd bp unzipped
1971,1770.91,14.8184,0.314506,1111.74,11.0369
1972,1771.84,14.8239,0.327678,1112.64,11.4925
1973,1772.79,14.8273,0.340327,1113.61,11.9314
1974,1773.78,14.8286,0.352349,1114.65,12.351
1975,1774.78,14.8279,0.363694,1115.75,12.7506
1976,1775.82,14.8253,0.374386,1116.93,13.1323
1977,1776.88,14.8207,0.384538,1118.16,13.5013
1978,1777.97,14.8142,0.394359,1119.47,13.8661
1979,1779.08,14.8059,0.404146,1120.83,14.2382
1980,1780.22,14.7956,0.414264,1122.27,14.6311
1981,1781.39,14.7832,0.425102,1123.78,15.0583
1982,1782.59,14.7684,0.437011,1125.37,15.5314
1983,1783.82,14.751,0.450226,1127.06,16.0571
1984,1785.1,14.7306,0.464785,1128.86,16.6342
1985,1786.42,14.7068,0.480453,1130.78,17.2512
1986,1787.79,14.6794,0.496685,1132.84,17.8856
1987,1789.21,14.648,0.512626,1135.03,18.5039
1988,1790.69,14.613,0.527169,1137.36,19.0639
1989,1792.21,14.5746,0.539064,1139.8,19.5193
1990,1793.76,14.5336,0.547079,1142.34,19.8252
1991,1795.33,14.4912,0.550164,1144.92,19.9441
1992,1796.91,14.4487,0.547609,1147.5,19.8513
1993,1798.46,14.4076,0.539148,1150.02,19.5388
1994,1799.98,14.3694,0.524985,1152.44,19.0158
1995,1801.44,14.3353,0.505746,1154.69,18.3069
1996,1802.83,14.3063,0.482366,1156.76,17.4475
1997,1804.14,14.2829,0.455949,1158.61,16.4791
1998,1805.38,14.2653,0.42763,1160.25,15.4437
1999,1806.54,14.2534,0.398464,1161.68,14.3803
2000,1807.63,14.2469,0.369359,1162.91,13.322
2001,1808.66,14.2449,0.338079,1164.06,12.1903
2002,1809.61,14.2481,0.308475,1165.01,11.1225
2003,1810.51,14.2558,0.281013,1165.81,10.1349
2004,1811.36,14.2672,0.255956,1166.47,9.23678
2005,1812.16,14.2817,0.233407,1167.01,8.43124
2006,1812.93,14.2987,0.213355,1167.46,7.71741
2007,1813.67,14.3178,0.195712,1167.84,7.09149
2008,1814.39,14.3385,0.180337,1168.16,6.54784
2009,1815.1,14.3604,0.167056,1168.44,6.0797
2010,1815.79,14.3834,0.155682,1168.67,5.6798
2011,1816.47,14.4073,0.146019,1168.88,5.3407
2012,1817.13,14.4317,0.137875,1169.06,5.05513
2013,1817.8,14.4567,0.131065,1169.23,4.8162
2014,1818.45,14.4821,0.125416,1169.37,4.61755
2015,1819.11,14.5078,0.120771,1169.51,4.45349
2016,1819.76,14.5337,0.116989,1169.64,4.31901
2017,1820.4,14.5599,0.113949,1169.76,4.20983
2018,1821.05,14.5862,0.111548,1169.88,4.12242
2019,1821.69,14.6126,0.109702,1169.99,4.0539
2020,1822.34,14.6391,0.108346,1170.09,4.00208
2021,1822.98,14.6656,0.10743,1170.2,3.96532
2022,1823.62,14.6922,0.106919,1170.3,3.94256
2023,1824.26,14.7188,0.106794,1170.4,3.9332
2024,1824.9,14.7454,0.107048,1170.5,3.93709
2025,1825.54,14.772,0.107685,1170.6,3.95448
2026,1826.18,14.7985,0.10872,1170.71,3.98601
2027,1826.82,14.825,0.110179,1170.81,4.03263
2028,1827.47,14.8514,0.112097,1170.92,4.09561
2029,1828.11,14.8777,0.114515,1171.03,4.17649
2030,1828.76,14.9038,0.117486,1171.15,4.27706
2031,1829.41,14.9297,0.121064,1171.27,4.39931
2032,1830.06,14.9555,0.125314,1171.4,4.54542
2033,1830.72,14.9809,0.1303,1171.54,4.71767
2034,1831.38,15.006,0.136092,1171.69,4.91843
2035,1832.05,15.0307,0.14276,1171.85,5.15007
2036,1832.72,15.055,0.150375,1172.03,5.41492
2037,1833.4,15.0786,0.159002,1172.23,5.71519
2038,1834.09,15.1016,0.168704,1172.46,6.0529
2039,1834.79,15.1238,0.179535,1172.71,6.42973
2040,1835.5,15.1451,0.191537,1172.99,6.84697
2041,1836.21,15.1665,0.206124,1173.35,7.35482
2042,1836.95,15.1863,0.222165,1173.77,7.91246
2043,1837.7,15.2043,0.239621,1174.25,8.51817
2044,1838.49,15.22,0.258396,1174.8,9.16829
2045,1839.31,15.2332,0.278325,1175.45,9.85667
2046,1840.17,15.2435,0.299156,1176.19,10.5743
2047,1841.08,15.2507,0.320542,1177.04,11.3086
2048,1842.03,15.2544,0.342027,1178.01,12.0436
2049,1843.03,15.2545,0.363051,1179.1,12.7597
2050,1844.07,15.2508,0.382962,1180.32,13.4341
2051,1845.17,15.2436,0.401041,1181.66,14.0421
2052,1846.32,15.2329,0.416554,1183.11,14.5585
2053,1847.5,15.2195,0.428808,1184.65,14.9599
2054,1848.71,15.2038,0.437223,1186.27,15.2267
2055,1849.94,15.1867,0.441393,1187.92,15.3459
2056,1851.18,15.1693,0.44114,1189.59,15.3123
2057,1852.4,15.1523,0.436532,1191.23,15.1293
2058,1853.61,15.1368,0.427881,1192.81,14.8085
2059,1854.79,15.1235,0.415698,1194.31,14.3685
2060,1855.94,15.1129,0.400639,1195.71,13.8327
2061,1857.04,15.1055,0.383437,1197,13.2268
2062,1858.09,15.1014,0.364837,1198.17,12.5769
2063,1859.1,15.1006,0.345545,1199.22,11.9073
2064,1860.07,15.1031,0.326189,1200.16,11.2397
2065,1861,15.1086,0.307301,1200.99,10.5922
2066,1861.88,15.1168,0.289311,1201.72,9.97933
2067,1862.74,15.1275,0.272545,1202.37,9.41188
2068,1863.57,15.1402,0.257239,1202.95,8.89747
2069,1864.37,15.1547,0.243546,1203.47,8.4408
2070,1865.16,15.1707,0.231552,1203.93,8.04414
2071,1865.92,15.188,0.221281,1204.35,7.70769
2072,1866.68,15.2062,0.21271,1204.74,7.42999
2073,1867.42,15.2252,0.205778,1205.1,7.20825
2074,1868.16,15.2448,0.200392,1205.44,7.03867
2075,1868.89,15.2648,0.196434,1205.76,6.9168
2076,1869.61,15.2852,0.193776,1206.08,6.83778
2077,1870.33,15.3057,0.192278,1206.38,6.79662
