total extension (nm),DNA extension (nm),average force (pN),sd force (pN),average bp unzipped,sd bp unzipped
103,102.735,0.0196377,9.35339e-08,0.321561,0.555031
104,103.735,0.0196362,6.39814e-08,0.32156,0.555031
105,104.735,0.0196348,9.21274e-08,0.321561,0.555031
106,105.735,0.0196334,9.38617e-08,0.321562,0.555031
107,106.735,0.019632,6.39763e-08,0.32156,0.555031
108,107.735,0.0196305,9.35342e-08,0.321562,0.555031
109,108.735,0.0196291,9.38614e-08,0.321561,0.555031
110,109.735,0.0196277,6.39785e-08,0.32156,0.555031
111,110.735,0.0196263,9.35333e-08,0.321561,0.555031
112,111.735,0.0196249,9.38602e-08,0.321562,0.555031
113,112.735,0.0196234,6.39772e-08,0.32156,0.55503
114,113.735,0.019622,9.35339e-08,0.321562,0.555031
115,114.735,0.0196206,9.35333e-08,0.321562,0.555031
116,115.735,0.0196191,6.39776e-08,0.32156,0.555031
117,116.735,0.0196177,9.21295e-08,0.321561,0.555031
118,117.735,0.0196163,9.35342e-08,0.321562,0.555031
119,118.735,0.0196149,1.01418e-07,0.321562,0.555032
120,119.735,0.0196134,6.39967e-08,0.32156,0.555031
121,120.735,0.019612,9.35345e-08,0.321561,0.555031
122,121.735,0.0196106,9.35356e-08,0.321562,0.555031
123,122.735,0.0196091,6.39785e-08,0.32156,0.555031
124,123.735,0.0196077,6.61284e-08,0.32156,0.555031
125,124.735,0.0196063,9.35333e-08,0.321562,0.555031
126,125.735,0.0196049,6.39772e-08,0.32156,0.55503
127,126.735,0.0196035,6.39768e-08,0.32156,0.555031
128,127.735,0.019602,9.35351e-08,0.321562,0.555031
129,128.735,0.0196006,9.35345e-08,0.321562,0.555031
130,129.735,0.0195992,1.01418e-07,0.321562,0.555032
131,130.735,0.0195978,6.39789e-08,0.32156,0.555031
132,131.735,0.0195964,9.3533e-08,0.321562,0.555031
133,132.735,0.019595,9.35362e-08,0.321562,0.555031
134,133.735,0.0195935,6.39827e-08,0.32156,0.55503
135,134.735,0.0195921,6.39789e-08,0.32156,0.555031
136,135.735,0.0195907,9.35356e-08,0.321562,0.555031
137,136.735,0.0195893,9.35351e-08,0.321562,0.555031
138,137.736,0.0195879,1.01419e-07,0.321562,0.555032
139,138.736,0.0195864,6.39797e-08,0.32156,0.55503
140,139.736,0.019585,6.61137e-08,0.32156,0.555031
141,140.736,0.0195836,9.35342e-08,0.321562,0.555031
142,141.736,0.0195822,9.35342e-08,0.321562,0.555031
143,142.736,0.0195808,1.01419e-07,0.321562,0.555032
144,143.736,0.0195793,6.3978e-08,0.32156,0.555031
145,144.736,0.0195779,6.61128e-08,0.32156,0.555031
146,145.736,0.0195765,9.3533e-08,0.321562,0.555031
147,146.736,0.0195751,9.35345e-08,0.321562,0.555031
148,147.736,0.0195737,1.01418e-07,0.321562,0.555032
149,148.736,0.0195723,6.39785e-08,0.32156,0.555031
150,149.736,0.0195709,6.61149e-08,0.32156,0.555031
151,150.736,0.0195694,9.35362e-08,0.321562,0.555031
152,151.736,0.019568,9.35362e-08,0.321562,0.555031
153,152.736,0.0195667,9.35365e-08,0.321562,0.555031
154,153.736,0.0195652,6.39785e-08,0.32156,0.555031
155,154.736,0.0195638,6.39776e-08,0.32156,0.555031
156,155.736,0.0195624,6.39958e-08,0.32156,0.555031
157,156.736,0.019561,9.35356e-08,0.321562,0.555031
158,157.736,0.0195596,9.27248e-08,0.321562,0.555031
159,158.736,0.0195582,9.35345e-08,0.321562,0.555031
160,159.736,0.0195568,1.01418e-07,0.321562,0.555032
161,160.736,0.0195553,6.39768e-08,0.32156,0.555031
162,161.736,0.0195539,6.39785e-08,0.32156,0.555031
163,162.736,0.0195525,6.39971e-08,0.32156,0.555031
164,163.736,0.0195511,6.61317e-08,0.32156,0.555031
165,164.736,0.0195497,9.35365e-08,0.321562,0.555031
166,165.736,0.0195483,9.35348e-08,0.321562,0.555031
167,166.736,0.0195469,9.35351e-08,0.321562,0.555031
168,167.736,0.0195454,5.46433e-08,0.32156,0.55503
169,168.736,0.019544,6.39797e-08,0.32156,0.555031
170,169.736,0.0195426,6.39776e-08,0.32156,0.555031
171,170.736,0.0195413,6.39768e-08,0.32156,0.555031
172,171.736,0.0195399,6.39797e-08,0.32156,0.555031
173,172.736,0.0195385,6.61309e-08,0.32156,0.555031
174,173.736,0.019537,9.35353e-08,0.321562,0.555031
175,174.736,0.0195356,9.35359e-08,0.321562,0.555031
176,175.736,0.0195342,9.35365e-08,0.321562,0.555031
177,176.736,0.0195328,9.35356e-08,0.321562,0.555031
178,177.736,0.0195315,9.35362e-08,0.321562,0.555031
179,178.736,0.01953,5.46418e-08,0.32156,0.55503
180,179.736,0.0195286,6.39789e-08,0.32156,0.555031
181,180.736,0.0195272,6.39772e-08,0.32156,0.555031
182,181.736,0.0195258,6.39797e-08,0.32156,0.555031
183,182.736,0.0195244,6.39797e-08,0.32156,0.555031
184,183.736,0.019523,6.39789e-08,0.32156,0.555031
185,184.736,0.0195216,6.39759e-08,0.32156,0.555031
186,185.736,0.0195202,6.39793e-08,0.32156,0.555031
187,186.736,0.0195188,6.39785e-08,0.32156,0.555031
188,187.736,0.0195174,6.3978e-08,0.32156,0.555031
189,188.736,0.019516,9.21274e-08,0.321562,0.555031
190,189.737,0.0195146,6.61128e-08,0.32156,0.555031
191,190.737,0.0195132,9.21289e-08,0.321562,0.555031
192,191.737,0.0195118,9.35342e-08,0.321562,0.555031
193,192.737,0.0195104,9.35362e-08,0.321562,0.555031
194,193.737,0.019509,9.35353e-08,0.321562,0.555031
195,194.737,0.0195076,9.35322e-08,0.321523,0.555009
196,195.737,0.0195062,9.35359e-08,0.321562,0.555031
197,196.737,0.0195048,9.35348e-08,0.321562,0.555031
198,197.737,0.0195034,9.35362e-08,0.321562,0.555031
199,198.737,0.019502,9.35353e-08,0.321562,0.555031
200,199.737,0.0195006,9.35356e-08,0.321562,0.555031
201,200.737,0.0194992,9.35345e-08,0.321562,0.555031
202,201.737,0.0194978,9.35353e-08,0.321562,0.555031
203,202.737,0.0194964,9.21286e-08,0.321562,0.555031
204,203.737,0.0194951,6.61124e-08,0.32156,0.555031
205,204.737,0.0194936,9.21295e-08,0.321562,0.555031
206,205.737,0.0194923,6.61112e-08,0.32156,0.555031
207,206.737,0.0194909,6.39776e-08,0.32156,0.555031
208,207.737,0.0194895,6.39785e-08,0.32156,0.555031
209,208.737,0.0194881,6.39793e-08,0.32156,0.555031
210,209.737,0.0194867,6.39789e-08,0.32156,0.555031
211,210.737,0.0194853,6.39806e-08,0.32156,0.555031
212,211.737,0.0194839,6.3978e-08,0.32156,0.555031
213,212.737,0.0194825,6.39806e-08,0.32156,0.555031
214,213.737,0.0194811,6.3978e-08,0.32156,0.555031
215,214.737,0.0194797,5.46403e-08,0.32156,0.55503
216,215.737,0.0194784,9.35356e-08,0.321562,0.555031
217,216.737,0.019477,9.35342e-08,0.321562,0.555031
218,217.737,0.0194756,9.35359e-08,0.321562,0.555031
219,218.737,0.0194742,9.35348e-08,0.321562,0.555031
220,219.737,0.0194728,9.35348e-08,0.321562,0.555031
221,220.737,0.0194714,9.35229e-08,0.321562,0.555031
222,221.737,0.01947,9.21298e-08,0.321562,0.555031
223,222.737,0.0194686,6.39785e-08,0.32156,0.555031
224,223.737,0.0194672,6.39772e-08,0.32156,0.555031
225,224.737,0.0194658,6.39776e-08,0.32156,0.555031
226,225.737,0.0194644,6.39768e-08,0.32156,0.555031
227,226.737,0.0194631,1.01117e-07,0.321562,0.555032
228,227.737,0.0194617,9.35336e-08,0.321562,0.555031
229,228.737,0.0194603,9.35336e-08,0.321562,0.555031
230,229.737,0.0194589,9.35356e-08,0.321562,0.555031
231,230.737,0.0194575,9.21151e-08,0.321562,0.555031
232,231.737,0.0194561,6.39789e-08,0.32156,0.555031
233,232.737,0.0194547,6.39785e-08,0.32156,0.555031
234,233.737,0.0194533,6.3978e-08,0.32156,0.555031
235,234.737,0.0194519,5.41475e-08,0.32156,0.55503
236,235.737,0.0194506,9.35351e-08,0.321562,0.555031
237,236.737,0.0194492,9.35356e-08,0.321562,0.555031
238,237.737,0.0194478,9.2128e-08,0.321562,0.555031
239,238.737,0.0194465,6.39772e-08,0.32156,0.555031
240,239.737,0.0194451,6.3978e-08,0.32156,0.555031
241,240.737,0.0194437,6.35615e-08,0.32156,0.555031
242,241.737,0.0194423,9.35345e-08,0.321562,0.555031
243,242.737,0.0194409,9.35293e-08,0.321562,0.555031
244,243.738,0.0194395,9.35243e-08,0.321562,0.555031
245,244.738,0.0194382,6.39785e-08,0.32156,0.555031
246,245.738,0.0194368,6.39776e-08,0.32156,0.555031
247,246.738,0.0194354,5.46433e-08,0.32156,0.55503
248,247.738,0.019434,9.35353e-08,0.321562,0.555031
249,248.738,0.0194326,9.35342e-08,0.321562,0.555031
250,249.738,0.0194313,9.21162e-08,0.321562,0.555031
251,250.738,0.0194299,6.39772e-08,0.32156,0.555031
252,251.738,0.0194285,6.39797e-08,0.32156,0.555031
253,252.738,0.0194272,9.35342e-08,0.321562,0.555031
254,253.738,0.0194258,9.35353e-08,0.321562,0.555031
255,254.738,0.0194244,9.21153e-08,0.321562,0.555031
256,255.738,0.019423,6.39793e-08,0.32156,0.555031
257,256.738,0.0194216,5.4148e-08,0.32156,0.55503
258,257.738,0.0194203,9.35353e-08,0.321562,0.555031
259,258.738,0.0194189,9.3524e-08,0.321562,0.555031
