# zMean	zSD	jMean	jSD	FMean	FSD	TotSteps
1.058904707471994016e+03	3.021701698481355614e+00	3.575653185710262960e+02	1.117466229000856401e+02	1.479133336462412096e+01	2.237872277895291973e-01	1.190000000000000000e+02
1.065056910351017450e+03	4.609477754372749203e+00	3.649244655631071623e+02	1.804560213482473046e+02	1.470600121940363714e+01	3.413779224888457975e-01	1.240000000000000000e+02
1.076326051118232954e+03	1.217113687225532992e+01	3.814528102880382221e+02	5.150615652187261730e+02	1.424170865418366994e+01	9.013943967592297213e-01	1.230000000000000000e+02
1.093204570084689976e+03	8.396287490092790406e+00	4.079212014484311908e+02	3.581803632087248843e+02	1.336198553952786305e+01	6.218290515162721022e-01	1.220000000000000000e+02
1.100317929411465911e+03	1.528706792490619026e+00	4.168673399311328467e+02	6.616778760671149939e+01	1.320547014778683170e+01	1.132160250518552402e-01	1.070000000000000000e+02
1.103384060609448625e+03	4.344240701761376000e-01	4.186385676130501565e+02	1.971074224045150913e+01	1.334869247126423808e+01	3.217344663724475140e-02	8.900000000000000000e+01
1.105858265510670435e+03	2.835827516004074678e-01	4.193942274503518206e+02	1.301024344941833988e+01	1.353575285627974978e+01	2.100213858352617535e-02	8.900000000000000000e+01
1.108221844307172887e+03	2.589895034318093203e-01	4.199900155397271533e+02	1.175344906692043878e+01	1.373100621061077220e+01	1.918076262415979727e-02	9.100000000000000000e+01
1.110559547590727561e+03	2.791045416799923240e-01	4.205798623625938717e+02	1.248342838682583533e+01	1.392817590543071127e+01	2.067048235682023005e-02	6.800000000000000000e+01
1.112923391562987945e+03	3.463280729724121931e-01	4.212588109107897480e+02	1.525672803414636292e+01	1.412340962084510387e+01	2.564905708433684595e-02	7.100000000000000000e+01
1.115380520985353087e+03	4.788133905755550535e-01	4.221461071049918132e+02	2.071817791170906276e+01	1.431173461582474893e+01	3.546091970602560650e-02	6.800000000000000000e+01
1.118026630324157850e+03	6.941037240719009072e-01	4.233993686593892107e+02	2.947967787776724435e+01	1.448606375819286107e+01	5.140532180476498070e-02	7.000000000000000000e+01
1.120965630835824868e+03	9.848626926718885288e-01	4.251880826514762362e+02	4.098149132364778779e+01	1.463870138029879975e+01	7.293893101928006217e-02	7.100000000000000000e+01
1.124259080400518314e+03	1.280112532660120594e+00	4.275995618562072877e+02	5.238864931309944950e+01	1.476508850553760510e+01	9.480513416880853583e-02	7.100000000000000000e+01
1.127859609845984778e+03	1.491656360443833984e+00	4.305389752008360915e+02	6.024139646469848230e+01	1.486873329480637196e+01	1.104720700544703504e-01	7.100000000000000000e+01
1.131654609462462304e+03	1.622249474986539930e+00	4.338089594413419263e+02	6.506502481040661223e+01	1.495797562321003582e+01	1.201437961175031433e-01	7.000000000000000000e+01
1.135605232412339774e+03	1.767266161551618309e+00	4.373454576629352459e+02	7.069792534632142633e+01	1.503569248754212317e+01	1.308837319245128583e-01	7.000000000000000000e+01
1.139744721352756414e+03	1.910305327913093487e+00	4.411995370539530654e+02	7.606137470519752242e+01	1.509942193661485277e+01	1.414772125852437057e-01	7.000000000000000000e+01
1.143964321644397160e+03	1.868697080135259148e+00	4.451780601909308643e+02	7.369351530534913763e+01	1.515721833901595161e+01	1.383957057548172997e-01	7.000000000000000000e+01
1.147976590957943699e+03	1.579761311676855851e+00	4.487790650860645201e+02	6.167996739584486932e+01	1.523036967365469252e+01	1.169971227427879512e-01	6.700000000000000000e+01
1.151573875191757224e+03	1.226345253411822434e+00	4.516633246138591176e+02	4.743582359582069330e+01	1.533425480329845492e+01	9.082312946767956419e-02	6.600000000000000000e+01
1.154778065889518984e+03	9.622347197218755754e-01	4.538882129505243483e+02	3.690358828677562997e+01	1.546725244022221979e+01	7.126310334260210766e-02	6.800000000000000000e+01
1.157716402678628128e+03	7.994557906186537943e-01	4.556738023217033628e+02	3.037163680486264639e+01	1.561993921762079296e+01	5.920769585321750128e-02	6.700000000000000000e+01
1.160477254431119263e+03	6.943295716941982887e-01	4.571850287291981090e+02	2.600091121197328903e+01	1.578577053683130060e+01	5.142204807967232227e-02	6.600000000000000000e+01
1.163113690352120102e+03	6.095210988387729234e-01	4.584968306259740984e+02	2.245968552614795044e+01	1.596081609252198596e+01	4.514113257999952111e-02	6.400000000000000000e+01
1.165634640429214187e+03	5.343504805138117320e-01	4.596381312838030908e+02	1.936342276510549709e+01	1.614441452981239067e+01	3.957399658685289978e-02	8.100000000000000000e+01
1.168066686353499335e+03	5.078669063544767326e-01	4.606620411074549111e+02	1.832047239420353435e+01	1.633459720865984011e+01	3.761262308461255088e-02	9.200000000000000000e+01
1.170609222026787847e+03	8.967239050503191811e-01	4.619040338594693367e+02	3.415035458916099742e+01	1.651659701669608538e+01	6.641137240802663655e-02	1.090000000000000000e+02
1.175338312043066026e+03	5.538408562964129089e+00	4.669298734645151399e+02	2.191399945553275757e+02	1.653666061009052513e+01	4.101745381731234374e-01	1.230000000000000000e+02
1.191749262727691075e+03	1.588141319853944999e+01	4.918208572743082527e+02	6.257116244153294247e+02	1.569156560238720388e+01	1.176177461483831621e+00	1.340000000000000000e+02
1.205940334646285692e+03	4.520584166860069253e+00	5.126877626112186590e+02	1.858480657431064174e+02	1.501087481609607366e+01	3.347944633976567275e-01	1.300000000000000000e+02
1.211615540866984020e+03	2.422296147674376954e+00	5.191283111231057319e+02	1.090842980992165394e+02	1.496086904339115975e+01	1.793952526967643735e-01	1.350000000000000000e+02
1.216681242254094741e+03	2.469712962844940130e+00	5.245828587985204194e+02	1.118295376352616586e+02	1.495600319866173500e+01	1.829069420282962710e-01	1.310000000000000000e+02
1.221728624563840640e+03	2.427541214788627055e+00	5.300028389670834486e+02	1.116405752191785723e+02	1.495249406480195553e+01	1.797837023672457235e-01	9.800000000000000000e+01
1.227064662937450976e+03	3.046073797798221516e+00	5.360051944668317674e+02	1.443034868867252953e+02	1.492760706285238470e+01	2.255922254649362912e-01	9.800000000000000000e+01
1.233574128235070248e+03	4.091044481741967331e+00	5.442396466637856065e+02	1.958038147769984789e+02	1.481581606291068987e+01	3.029827543178100768e-01	9.700000000000000000e+01
1.240663308659714403e+03	3.694126764211742575e+00	5.535072540375909966e+02	1.769035017818096094e+02	1.466109136066155827e+01	2.735870281575216723e-01	1.020000000000000000e+02
1.246504988870690113e+03	2.316272676513359219e+00	5.603732106511256461e+02	1.114019995354465209e+02	1.459875652423668591e+01	1.715431544225793914e-01	9.800000000000000000e+01
1.250927084649428025e+03	1.440205395606794170e+00	5.645587514883186486e+02	6.985523049550829455e+01	1.464155611086335185e+01	1.066616115986391833e-01	1.050000000000000000e+02
1.254617090983173284e+03	1.060891146824774589e+00	5.673786367810968159e+02	5.149760641372995451e+01	1.473857424178618558e+01	7.856959833384280500e-02	9.300000000000000000e+01
1.257974048290425571e+03	8.728297606431296707e-01	5.695818800251943230e+02	4.193451871792785823e+01	1.486025798361107775e+01	6.464177207323018592e-02	9.400000000000000000e+01
1.261131431766230662e+03	7.390329872194475458e-01	5.714155518542171421e+02	3.508811550552491099e+01	1.499672216339295439e+01	5.473278303347228757e-02	9.200000000000000000e+01
1.264137826028404106e+03	6.611464966813386246e-01	5.729898386529515619e+02	3.111069259507348761e+01	1.514436860433639431e+01	4.896450954421993629e-02	9.900000000000000000e+01
1.267111319451630152e+03	7.434412192922875695e-01	5.745345782925500089e+02	3.530234771786490455e+01	1.529445168141226397e+01	5.505925670078681833e-02	9.000000000000000000e+01
1.270407599845228106e+03	1.291439964434827115e+00	5.767258636795902476e+02	6.218213791103335097e+01	1.542062915546240554e+01	9.564404376604329627e-02	8.900000000000000000e+01
1.274904552924695963e+03	2.779085310371601114e+00	5.811965204776771543e+02	1.333974400918232277e+02	1.545788481039700635e+01	2.058190580861207764e-01	9.500000000000000000e+01
1.281497217330746253e+03	4.298934619089393117e+00	5.895514023870332494e+02	2.038650795241119340e+02	1.533993208448493739e+01	3.183790978897604873e-01	9.500000000000000000e+01
1.288608588552701576e+03	3.437553616662983202e+00	5.987659953122819161e+02	1.619513133786967956e+02	1.518356393178692088e+01	2.545852208500605229e-01	9.900000000000000000e+01
1.294035948859238943e+03	2.011513736556354903e+00	6.047951584039028603e+02	9.627902171574532986e+01	1.515191362748476855e+01	1.489727073293636295e-01	1.040000000000000000e+02
1.298358260172631162e+03	1.607824222292854044e+00	6.087904789347163614e+02	7.889322568726493046e+01	1.520210325161492904e+01	1.190754619030087724e-01	1.040000000000000000e+02
1.302568400417766952e+03	1.701592437844995809e+00	6.125992943552295174e+02	8.363077094301115721e+01	1.526060026506018197e+01	1.260199359468003877e-01	1.100000000000000000e+02
1.306883388877410653e+03	1.721254879131283833e+00	6.165971563473082142e+02	8.384590830793604255e+01	1.531133221973896141e+01	1.274761363484628873e-01	1.120000000000000000e+02
1.311112354437777412e+03	1.600800581983908177e+00	6.204251094090263905e+02	7.789435160602442920e+01	1.536843503033820824e+01	1.185552911017282440e-01	1.100000000000000000e+02
1.315300002549797227e+03	1.735483085478160659e+00	6.241830241829954957e+02	8.603273516264744103e+01	1.542859781116200679e+01	1.285298773105125747e-01	9.800000000000000000e+01
1.320087938852287152e+03	2.675466668487851862e+00	6.291482236221399944e+02	1.355608578431420028e+02	1.544430324859961523e+01	1.981450614682103151e-01	9.800000000000000000e+01
1.326528283664652463e+03	4.209368642193582311e+00	6.373147070286258895e+02	2.144513523563509807e+02	1.533763131179584605e+01	3.117458416408567246e-01	9.900000000000000000e+01
1.334107175677389023e+03	4.112075121032488845e+00	6.476277505852490322e+02	2.091942683566594496e+02	1.514663856933257335e+01	3.045402834636661282e-01	1.030000000000000000e+02
1.340458188232841621e+03	2.539160190770917147e+00	6.554912845599172897e+02	1.300727734369575046e+02	1.504658257947574462e+01	1.880502037284941252e-01	9.600000000000000000e+01
1.345180269062010893e+03	1.564137101668187979e+00	6.601879684136475817e+02	8.128839047788642347e+01	1.506716527326746657e+01	1.158399937495460108e-01	9.600000000000000000e+01
1.349146301303098198e+03	1.214970083870425155e+00	6.634310941683047531e+02	6.356563535874010995e+01	1.514374092549253881e+01	8.998068441144368990e-02	8.500000000000000000e+01
1.352834193592929523e+03	1.064398339338557875e+00	6.661397641891297781e+02	5.530054720066254959e+01	1.524091562250764298e+01	7.882934101141358951e-02	8.500000000000000000e+01
1.356345305031778707e+03	9.224042096847759886e-01	6.685041750165579515e+02	4.724639628158183768e+01	1.535118270934646034e+01	6.831325576925451060e-02	8.600000000000000000e+01
1.359655735266256897e+03	7.554567474223199408e-01	6.704861711078937105e+02	3.800770093221217394e+01	1.547631224618101697e+01	5.594912671409701943e-02	6.700000000000000000e+01
1.362743673797825977e+03	5.889459123535198959e-01	6.720529429479259989e+02	2.914582318521570414e+01	1.561791951853300908e+01	4.361733426890168630e-02	7.300000000000000000e+01
1.365632418354355877e+03	4.514213461501339064e-01	6.732500229060005950e+02	2.194912183628184721e+01	1.577427909667640904e+01	3.343226489587891592e-02	7.300000000000000000e+01
1.368359597740162599e+03	3.567997003833255354e-01	6.741689612790612500e+02	1.710152056062361225e+01	1.594260419136356255e+01	2.642458581038908960e-02	7.200000000000000000e+01
1.370985335073659598e+03	3.196574453877162325e-01	6.749303459848559896e+02	1.521066288492875174e+01	1.611844208444477289e+01	2.367383040541426453e-02	9.700000000000000000e+01
1.373606872177276728e+03	4.132750907631932424e-01	6.757232884696309156e+02	2.013942360231885687e+01	1.629459104655088808e+01	3.060715322192208987e-02	1.020000000000000000e+02
1.376691624017408230e+03	1.422666790030739925e+00	6.774656763094964163e+02	7.346673811180517077e+01	1.643643432527073855e+01	1.053627024696766057e-01	1.080000000000000000e+02
1.384019059030548988e+03	9.059068444422623045e+00	6.875780706168594634e+02	4.739274315067450516e+02	1.626406448819753336e+01	6.709146089939395097e-01	1.250000000000000000e+02
1.402285349520510636e+03	1.187245527657581157e+01	7.189399345553348439e+02	6.165223988228826784e+02	1.528156301451098642e+01	8.792740377832046761e-01	1.440000000000000000e+02
1.412097983529843077e+03	2.197866967634945379e+00	7.334268958583089670e+02	1.167642132901819423e+02	1.492513933977981466e+01	1.627740276230440486e-01	1.380000000000000000e+02
1.416011291870953073e+03	7.808627744375986612e-01	7.363839660450739757e+02	4.542648314859252423e+01	1.500561972403721533e+01	5.783069707484855826e-02	1.330000000000000000e+02
1.419455048864957917e+03	9.895267328034740295e-01	7.384910203497702241e+02	5.988202553638257086e+01	1.512087508106120737e+01	7.328434983142528836e-02	1.300000000000000000e+02
1.423616358412573163e+03	2.039419039645731235e+00	7.421642135443736379e+02	1.251480073835700750e+02	1.518298849596482825e+01	1.510393740761628578e-01	1.100000000000000000e+02
1.429840124806728909e+03	4.354757361302382890e+00	7.502395512395654578e+02	2.688824714005459100e+02	1.509235635681365295e+01	3.225133301780545025e-01	1.220000000000000000e+02
1.438748157732895834e+03	5.652476236589165204e+00	7.639914506244449512e+02	3.512302901908988133e+02	1.480292743830173485e+01	4.186223900817935828e-01	1.270000000000000000e+02
1.447179484753407905e+03	3.806136951898394294e+00	7.766641981750726700e+02	2.416713211952010170e+02	1.454880335916261380e+01	2.818825026575950687e-01	1.330000000000000000e+02
1.453443090480344154e+03	2.554989085169525165e+00	7.847353994300531213e+02	1.715214056482072920e+02	1.445522071902570360e+01	1.892224916476550334e-01	1.200000000000000000e+02
1.459224376746110011e+03	2.858685510098332383e+00	7.919136413741466640e+02	2.003207278252812102e+02	1.439735865818309257e+01	2.117142488778824827e-01	1.250000000000000000e+02
1.465657591711429177e+03	3.258621174779588348e+00	8.006023986684622287e+02	2.284809177730930969e+02	1.429121475785154693e+01	2.413334842041763295e-01	1.210000000000000000e+02
1.471851601332300334e+03	2.386097510425015500e+00	8.086485540335678479e+02	1.648930998768191785e+02	1.420278640532982983e+01	1.767143816220766439e-01	1.070000000000000000e+02
1.476662951045369482e+03	1.206880308808304214e+00	8.134787065147048679e+02	8.221954024536535144e+01	1.421675784557993616e+01	8.938155567034300475e-02	9.700000000000000000e+01
1.480352756785247493e+03	5.804364015621396033e-01	8.157860776905304192e+02	3.954445748613215983e+01	1.431379083248457285e+01	4.298711989969206115e-02	9.500000000000000000e+01
1.483555628708623772e+03	3.836740028814732972e-01	8.170380927284592190e+02	2.657905396237038076e+01	1.444688613783932851e+01	2.841489665340191095e-02	1.060000000000000000e+02
1.486649406141542840e+03	4.091088831153510963e-01	8.180941171741352491e+02	2.868572994985152036e+01	1.458806098115734073e+01	3.029860388352290101e-02	1.010000000000000000e+02
1.489854464369425614e+03	5.915615129412004070e-01	8.194418940328185954e+02	4.126838706771377474e+01	1.472099436880033352e+01	4.381104564842530635e-02	1.000000000000000000e+02
1.493369805683690174e+03	9.470208323373230375e-01	8.215256710010060033e+02	6.525042857194785029e+01	1.483094819106591267e+01	7.013636284290214462e-02	8.400000000000000000e+01
1.497432536526182503e+03	1.515796328370537793e+00	8.248474969977052069e+02	1.035101714987540618e+02	1.490036234487091349e+01	1.122598760791220229e-01	9.900000000000000000e+01
